id,name,short_name,description,sector_id,country_id,year_established,chartable,hidden,urlslug
20,"Abu Dhabi Airport Company (ADAC)",ADAC,"Abu Dhabi Airports Co owns and operates airports. The Company provides developmental, handling, and cargo, as well as catering, travel, and other management services. Abu Dhabi Airports operates airports throughout the United Arab Emirates.",5,13,,1,0,adac
21,"Abu Dhabi Tourism & Culture Authority",ADTCA,"Abu Dhabi Tourism Authority (ADTA) was a statutory body in the United Arab Emirates established in 2004 under the Government of Abu Dhabi’s economic diversification strategy. The authority had wide-ranging responsibilities for the promotion and development of the emirate’s tourism industry and international positioning as a destination of distinction.",25,13,,1,0,adtca
22,Aramex,Aramex,"Aramex PJSC (formerly Arab International Logistics) provides transportation services. The Company invests in the freight, express, logistics and supply chain management business through acquiring and owning stakes in one or more existing companies in the Middle East, particularly the UAE.",5,13,,1,0,aramex
23,"Bank Muscat","Bank Muscat","Bank Muscat SAOG provides various financial and banking services in the Sultanate of Oman. The company operates in Corporate, Consumer, Wholesale, International, and Islamic Banking segments. ",6,8,,1,0,bank_muscat
24,"Abu Dhabi Polymers Company Limited (BOROUGE)",BOROUGE,"Borouge Pte Ltd. manufactures plastic products. It offers bimodal polyethylene products and polyolefins. The company’s products are used in power and communication cables, packaging, and automotive components, as well as in water, gas, and industrial pipe systems. ",9,13,,1,0,borouge
25,"Dolphin Energy","Dolphin Energy","Dolphin Energy engages in processing, producing, and transporting upstream, midstream, and downstream natural gas. The company provides subsea export pipeline transportation of refined methane gas to enterprises in the United Arab Emirates and the Sultanate of Oman. It also sells by-products, such as condensates, LPG, sulfur, and ethane. ",1,13,,1,0,dolphin
26,"Department of Municipal Affairs and Transport (DMAT) - Abu Dhabi","Abu Dhabi DMAT","The Department of Transport (DoT) was established to cover the entire value chain and ensure fully coordinated planning in all aspects of transport policy and development in the Emirate of Abu Dhabi in cooperation with all relevant local, regional and international stakeholders and partners.",25,13,2006,1,0,dmat
27,"Emirates Integrated Telecommunications Company PJSC (du)",Du,"Emirates Integrated Telecommunications Company (du) is a telecommunications company based in the UAE. The Company provides a comprehensive range of services including mobile and fixed telephony, broadband connectivity, IPTV services and engagement platforms have enabled over 8 million consumers and 80,000 businesses alike. du also provides managed services, a data hub, internet exchange facilities and satellite services for broadcasters",8,13,,1,0,du
28,"EQUATE Petrochemical Company",EQUATE,"Established in 1995, EQUATE is an international joint venture between Petrochemical Industries Company (PIC), The Dow Chemical Company (Dow), Boubyan Petrochemical Company (BPC) and Qurain Petrochemical Industries Company (QPIC). 
",9,6,,1,0,equate
29,"Etihad Airways","Etihad Airways","Etihad Airways is the national airline of the United Arab Emirates with destinations in Europe, the Middle East, and Asia. The company provides passenger and cargo service.",5,13,,1,0,etihad
30,"Gulf Petrochemicals Industries Company (GPIC)",GPIC,"Gulf Petrochemical Industries Company (BSC) manufactures fertilizers and petrochemicals. It offers ammonia for uses, such as cattle feed, resins, fertilizers, explosives, textiles, refrigerants, rubber, metallurgy, drugs, photography, food/beverages, organic/inorganic, chemicals, leather, water treatment, pulp and paper, petroleum refining, aeronautical/space research, and detergents/wetting agents. The company also provides urea for uses, including fertilizers, cattle feed, and urea formaldehydes; and methanol for uses, such as resins, polymers, plasticizers, solvents, octane improvers, fuel additives, corrosion inhibitors, methyl halides, cleaning, extraction, and antifreeze. ",9,45,,1,0,gpic
32,"Petrochemical Industries Co (PIC)",PIC,"Petrochemical Industries Company produces chemical fertilizers. It offers ammonia, urea, ammonium sulphate, and sulphuric acid. The company was founded in 1963 and is headquartered in Safat, Kuwait. Petrochemical Industries Company operates as a subsidiary of Kuwait Petroleum Corporation.",9,6,,1,0,pic
33,"Qatar Petrochemical Company (QAPCO)",QAPCO,"Qatar Petrochemical Company Q.S.C produces and supplies ethylene and polyethylene to the plastic industry in the Middle East Region. The company offers low-density polyethylene, sulphur, fertilizers, steel, petroleum products, natural gas liquids, and linear low density polyethylene. It serves its customers through liaison offices worldwide. The company was founded in 1974 and is headquartered in Doha, Qatar.",9,9,,1,0,qapco
34,Qatargas,Qatargas,"Qatargas is the world's largest liquefied natural gas (LNG) company. It annually produces and supplies the globe with 42 million metric tons of LNG from across its four ventures (Qatargas 1, Qatargas 2, Qatargas3, and Qatargas 4). It is headquartered in Doha, Qatar, and maintains its upstream assets in Ras Laffan, Qatar. Natural gas is supplied to Qatargas's LNG trains from Qatar's massive North Field, by far the world's largest non-associated gas field.",1,9,,1,0,qatargas
35,RasGas,RasGas,"RasGas Company Limited (RasGas) is one of the world's premier integrated liquefied natural gas (LNG) enterprises and has an enviable reputation for being a safe and reliable supplier of LNG that has transformed a regional resource into a key component of the global energy mix. RasGas manages and operates seven LNG trains, two sales gas production facilities, two helium plants as well as a long-term charter fleet of 27 LNG tankers.The company also manages the construction of the Barzan Gas Project which will fuel major development in Qatar and further RasGas' contribution to all four pillars of the Qatar National Vision 2030.",1,9,,1,0,rasgas
36,"Saudi Basic Industries Corporation (SABIC)",SABIC,"Saudi Basic Industries Corporation, together with its subsidiaries, manufactures, markets, and distributes chemicals, fertilizers, and metal products in the Kingdom of Saudi Arabia and internationally. The company operates through Chemicals, Fertilizers, and Metals segments.",7,10,,1,0,sabic
